CD38,CD3,CD45,CD4,CD8,HLA,Ki67,NFAT1,Distance
0.884064527,-0.642610683,-2.004437289,-0.652184001,0.515082934,-0.966572661,-0.207568024,-0.867686468,0.452191142
0.875858358,-1.305989026,-0.488139195,-1.69694326,0.850713623,-1.396933413,-0.114937121,0.049238761,0.849915737
0.749305241,0.222790635,-0.517731708,0.756574893,-1.869853151,-0.79958964,0.100052275,-0.821570161,0.79673029
0.210768968,-0.611139461,-0.9402295,-0.768969642,0.760049907,-1.101050261,0.632878708,-1.070589537,0.709323867
0.931445066,-0.669219381,0.048888343,0.073416451,0.456529699,-0.151541386,0.283659872,-0.569449514,-1.164923805
1.658423928,-0.842973081,-1.67991887,-2.005305702,0.834653263,-0.697361716,0.668603079,1.409018804,-0.113555345
0.296516895,-0.103281693,0.778053141,1.583652824,0.771144347,-0.493975733,0.609933174,1.342356743,-1.593448602
0.17802329,-0.01508347,0.457270585,0.007142939,0.663528464,0.441752608,-1.802748731,-0.362200258,-1.934395364
0.719208833,-0.539726422,0.318030942,0.084650622,0.720128056,-0.309784061,-0.469248451,-0.260974418,-1.282181357
0.509238337,-1.629352375,-1.309034725,-0.823289716,0.562247042,-0.047622221,0.154099948,2.173605656,0.701353213
0.861048659,-0.1244175,-0.704603638,-0.3267233,0.903483875,-0.676709664,0.343338568,-0.492193902,0.598673698
1.255498698,-1.549046168,-2.056214028,-0.600837669,0.300444599,-0.23337794,0.782633481,-1.136524502,0.714493269
0.485904116,-0.518349909,-0.833533196,-0.849815041,0.65915492,-0.616374593,0.272514431,-0.976354861,0.680599812
0.517793733,0.371949502,0.425057152,-1.446712809,0.995207452,-0.55337056,0.398079669,0.978150886,0.668775104
0.275644506,0.142655189,0.848070259,-0.609010475,1.045865336,-0.620101964,-1.122614031,0.638517836,0.136322983
1.602809015,0.018275844,1.234231741,-0.787699199,1.01254652,-0.927857421,0.982493529,1.293527347,0.757390127
0.765442046,-0.672991487,-0.98262261,-1.757415122,0.689200959,-2.432405437,-0.041266526,0.70670459,0.848815844
1.256741534,-0.297750083,-0.458058664,-0.006858821,0.892675697,-1.288879799,0.373995456,0.073399402,0.835295264
0.712584339,0.430937101,0.095280189,-1.424281201,0.951435548,-0.006912044,-0.461632531,-0.855705828,0.834621236
0.17345395,-1.022314444,-0.675669103,1.368138762,0.740068628,-1.157644777,-1.894912064,0.523553923,0.711833605
1.697932988,-0.549821018,1.376152581,0.772388079,-1.491267037,-0.442514182,1.035351053,-0.736828801,-1.934395364
-1.1618084,-0.634172485,-0.251735909,0.516955137,-0.111757633,-0.006835363,-0.5122527,1.273815089,-0.646583263
0.340163156,-0.691816265,-0.737971162,0.470002988,-0.386653849,-0.280151541,-0.214809983,-0.967713914,-1.279135297
0.96286988,-0.723908774,-0.032249856,0.55604238,-0.624523225,-0.898591263,-0.115832561,-0.629929996,-0.194431985
0.863294236,-0.885902941,-0.383168013,0.762630637,-1.467098034,-0.532114413,-0.116367583,-0.644641067,0.633879565
1.041563435,-0.052032104,0.437532987,1.041841934,-1.957485225,-0.488391366,0.247161905,-0.666544747,0.725251523
0.855162747,-0.773048143,0.219989749,1.001416156,-1.989866378,-0.009290921,-0.086396907,0.784297385,0.670049841
0.739554573,-0.390615217,0.244563572,0.200559384,-0.901540042,-0.877774112,0.382549499,-0.265072939,0.762136086
0.633773882,1.028778874,-0.42138816,0.519966691,-1.887633091,-0.236558537,0.197790457,-1.028173643,0.730083351
0.736724403,1.515803027,0.602536981,1.323813235,-1.560390946,-1.476151664,0.30567243,-0.509232943,0.78234917
-0.818844035,1.060419612,0.364078544,0.772735855,-0.158640499,0.138489316,-0.14173966,-0.595794432,0.851871641
0.584254777,0.107598319,-0.061946772,0.700261167,-2.080620249,-1.731138361,0.082329873,-1.034739588,0.5557044
1.098281899,-0.07439929,-0.064017696,0.353179625,-1.881490303,-1.151883529,0.04688362,-0.714661904,0.564015996
0.939845751,0.872116658,1.18309624,0.965005489,-1.645739286,-0.556050483,0.039790432,-0.206358761,0.691499919
1.727474246,-1.111141316,-0.058961127,-0.332987276,-1.096866472,0.284319972,0.896299532,1.068494341,0.726775406
0.259551092,-0.729146244,-0.864110968,0.293397516,-2.090301825,-1.739394455,0.002385747,0.308618083,0.710307383
0.144891231,-0.256350676,-0.513355646,-1.037863635,0.311933266,-0.250518356,0.393616146,1.469650098,0.573870606
-0.055958338,-0.730702728,-1.285332192,-0.509490395,0.744606129,-0.703081191,0.066595034,1.090848707,-1.157741224
0.831978829,1.679724374,1.398624371,-0.401519021,1.354913408,0.014028447,1.046983942,1.052856612,-0.839370721
-0.40177185,0.440371966,-0.294089384,0.591080839,0.584294133,-0.182962599,1.436135776,0.360368019,-1.934395364
-0.780424366,0.80728651,-0.016460346,0.279459907,0.793103204,-0.137561929,-0.585754798,0.361810425,-1.934395364
0.198721084,0.942555164,0.804023361,-0.261696346,1.023108819,-0.203765219,-0.132612589,0.259048477,-1.519615535
0.755851257,-0.378807984,-1.272882043,-0.5612613,0.666507491,-1.228616917,-0.526641686,-1.244638313,0.724910642
